1,28,1086290,1,1497447055206,10,2,1
2,37,936228,14,1492811083760,11,2,2
3,40,1113661,21,1492764346821,10,1,3
4,21,1116799,6,1492558556947,10,3,4
5,15,1075108,,1490979526298,4,3,5
6,23,1381083,13,1496533169947,7,2,16
7,2,1510601,,1492424011443,3,3,17
8,1,1375852,,1497251771913,11,3,18
9,40,1514887,12,1493043954737,6,2,19
10,33,1385662,,1491609021981,2,3,20
11,39,905506,20,1494867718270,11,1,31
12,12,802369,,1490321585522,10,1,32
13,16,778187,5,1497394375955,9,1,33
14,25,777608,,1488671122835,3,2,34
15,28,830168,19,1492202052815,8,2,35
16,6,195441,,1492877165776,10,1,6
17,36,205440,7,1489300234356,6,3,7
18,16,186503,,1490208793808,5,3,8
19,5,181857,18,1491911192760,3,1,9
20,8,183652,,1494815943793,2,3,10
21,9,400519,2,1497594380418,1,3,21
22,36,377921,,1495817994956,8,2,22
23,23,418600,15,1494555105402,8,1,23
24,37,410811,8,1493875399032,6,2,24
25,29,354566,,1494723646942,2,1,25
26,16,822706,17,1491010152878,8,1,36
27,5,794914,3,1498148740919,8,1,37
28,22,726012,,1492627051172,1,1,38
29,36,825231,,1491035759374,10,3,39
30,8,740309,16,1495133231086,7,2,40
31,6,891868,,1495436305922,11,1,11
32,1,818914,9,1497271130162,6,1,12
33,12,826483,,1497071296031,3,2,13
34,15,815892,,1492385904784,7,3,14
35,14,833310,4,1491130093115,1,3,15
36,3,1398782,11,1496184968094,3,3,26
37,36,1295259,,1495425256475,4,2,27
38,38,1352965,10,1491790151895,9,2,28
39,39,1389669,24,1493409908941,2,2,29
40,15,1271076,,1488896224445,7,2,30
41,4,1816621,23,1496304053976,1,2,41
42,37,1737138,,1494077929497,3,2,42
43,20,1847660,,1496303269490,7,3,43
44,1,2101326,22,1489837140060,8,3,44
45,32,1895604,,1495305352818,4,3,45
