1,8,978546,1518759880914
2,28,418817,1505535425618
3,2,867172,1511601641055
4,8,823845,1512012918323
5,40,714462,1502185778597
6,8,1206554,1518565213384
7,31,206047,1499429567864
8,38,410216,1505896533552
9,2,759195,1506333467178
10,32,1465840,1501048183850
11,16,1321639,1504263136343
12,28,1546925,1511867968346
13,2,1456795,1503869991569
14,3,855931,1499093054091
15,22,396148,1511796782727
16,5,793678,1507785552330
17,34,848975,1502950431678
18,23,188736,1499353067321
19,26,783556,1500906407502
20,6,840832,1512188000728
21,26,1080325,1509301482937
22,12,2062812,1498843764630
23,25,1660360,1513314648690
24,36,1350144,1498687079299
25,20,1061890,1499093054091
26,22,672391,1499093054091
27,4,806043,1499093054091
28,5,1736103,1499093054091
29,37,832767,1499093054091
30,21,169892,1499093054091
31,11,1375348,1499093054091
32,6,1923550,1499093054091
33,1,778826,1499093054091
34,35,377629,1499093054091
35,20,185116,1499093054091
36,10,1540854,1499093054091
37,1,1268040,1499093054091
38,16,1123809,1499093054091
39,24,780519,1499093054091
40,22,823056,1499093054091
41,7,940172,1499093054091
42,29,1469308,1499093054091
43,4,2306634,1499093054091
44,33,746079,1499093054091
45,16,448737,1499093054091
46,38,831830,1499093054091
47,12,979803,1499093054091
48,27,2078614,1499093054091
49,11,752215,1499093054091
50,40,196421,1499093054091
