1,1,1,2009,854,70
2,1,1,1998,686,71
3,1,1,1994,876,72
4,1,1,2009,888,73
5,1,1,2005,751,74
6,1,1,1994,1016,75
7,1,1,2008,961,76
8,1,1,1990,1069,77
9,1,1,2006,995,78
10,1,1,1997,907,79
11,1,1,2009,960,80
12,1,1,2009,869,81
13,1,1,2004,901,82
14,1,1,1991,872,83
15,1,1,2004,839,84
16,2,1,1996,1280,85
17,2,2,1999,1469,86
18,2,2,2001,1323,87
19,2,2,2012,1455,88
20,2,1,2004,1323,89
21,2,2,1993,1689,90
22,2,2,1994,1899,91
23,2,1,2012,1554,92
24,2,1,1997,1648,93
25,2,1,2008,1598,94
26,2,1,2005,985,95
27,2,1,1999,925,96
28,2,1,1997,1094,97
29,2,2,2008,1025,98
30,2,2,1994,1154,99
31,3,3,2007,1999,100
32,3,2,1995,1861,101
33,3,3,1997,1503,102
34,3,2,2002,1720,103
35,3,2,2012,1744,104
36,3,3,1996,2179,105
37,3,3,2005,2292,106
38,3,3,2012,2058,107
39,3,2,1994,2442,108
40,3,3,2010,2217,109
41,3,3,2009,2210,110
42,3,3,1997,2170,111
43,3,2,2010,2014,112
44,3,3,1995,2358,113
45,3,2,1992,2425,114
46,1,1,2004,713,121
47,1,1,2011,958,122
48,1,1,2011,934,123
49,1,1,1995,754,124
50,1,1,1999,766,125
51,1,1,2008,822,126
52,1,1,2007,718,127
53,1,1,2008,769,128
54,1,1,1998,860,129
55,1,1,2006,842,130
56,1,1,1997,803,131
57,1,1,1993,876,132
58,1,1,1993,834,133
59,1,1,2009,778,134
60,1,1,1995,734,135
61,2,1,2008,1212,136
62,2,2,2012,1171,137
63,2,2,2011,1271,138
64,2,2,2012,1129,139
65,2,1,2008,1022,140
66,2,2,2011,1485,141
67,2,2,2012,1396,142
68,2,1,1967,1383,143
69,2,1,1998,1453,144
70,2,1,2006,1350,145
71,2,1,2001,1159,146
72,2,1,2001,1008,147
73,2,1,2001,1342,148
74,2,2,1977,1070,149
75,2,2,2008,1265,150
76,3,3,2008,1541,151
77,3,2,1990,1515,152
78,3,3,1962,1506,153
79,3,2,1968,1942,154
80,3,2,2009,1950,155
81,3,3,2011,1946,156
82,3,3,2006,1679,157
83,3,3,1992,1511,158
84,3,2,2002,1532,159
85,3,3,2012,1501,160
86,3,3,2001,1514,161
87,3,3,2001,1676,162
88,3,2,1992,1525,163
89,3,3,2002,1708,164
90,3,2,1971,1506,165
91,1,1,2005,866,166
92,1,1,1995,798,167
93,1,1,1994,757,168
94,1,1,1996,930,169
95,1,1,1996,915,170
96,1,1,2002,786,171
97,1,1,2001,988,172
98,1,1,2011,936,173
99,1,1,1993,928,174
100,1,1,1992,752,175
101,1,1,1990,837,176
102,1,1,2006,879,177
103,1,1,2011,919,178
104,1,1,2012,762,179
105,1,1,1992,823,180
106,2,1,2001,1080,181
107,2,2,1990,1337,182
108,2,2,1993,1115,183
109,2,2,1984,1421,184
110,2,1,2010,1065,185
111,2,2,1994,1420,186
112,2,2,1999,1465,187
113,2,1,2008,1471,188
114,2,1,1997,1189,189
115,2,1,1992,1147,190
116,2,1,2004,1038,191
117,2,1,1995,1360,192
118,2,1,2012,1392,193
119,2,2,2000,1247,194
120,2,2,2012,1100,195
121,3,3,2010,1835,196
122,3,2,1998,1703,197
123,3,3,1998,1743,198
124,3,2,2012,1598,199
125,3,2,2003,1810,200
126,3,3,2005,1706,201
127,3,3,2004,1997,202
128,3,3,2007,1903,203
129,3,2,1998,1922,204
130,3,3,2000,1977,205
131,3,3,1985,1846,206
132,3,3,1996,1888,207
133,3,2,1997,1719,208
134,3,3,2010,1786,209
135,3,2,2007,1657,210
